sampling_date,reporting_date,reported,reporting_delay
2021-04-29,2021-06-20,TRUE,52
2021-04-28,2021-06-20,TRUE,53
2021-04-27,2021-06-20,TRUE,54
2021-04-29,2021-06-20,TRUE,52
2021-06-10,2021-06-20,TRUE,10
2021-06-06,2021-06-17,TRUE,11
2021-06-04,2021-06-17,TRUE,13
2021-06-04,2021-06-17,TRUE,13
2021-05-13,2021-06-16,TRUE,34
2021-04-19,2021-06-16,TRUE,58
2021-06-03,2021-06-16,TRUE,13
2021-05-27,2021-06-15,TRUE,19
2021-05-30,2021-06-15,TRUE,16
2021-05-30,2021-06-15,TRUE,16
2021-05-30,2021-06-15,TRUE,16
2021-05-22,2021-06-15,TRUE,24
2021-05-10,2021-06-15,TRUE,36
2021-04-28,2021-06-15,TRUE,48
2021-05-04,2021-06-15,TRUE,42
2021-06-13,2021-06-25,TRUE,12
2021-04-26,2021-06-13,TRUE,48
2021-04-26,2021-06-13,TRUE,48
2021-04-27,2021-06-13,TRUE,47
2021-06-01,2021-06-25,TRUE,24
2021-05-28,2021-06-10,TRUE,13
2021-05-03,2021-06-10,TRUE,38
2021-05-13,2021-06-10,TRUE,28
2021-04-23,2021-06-10,TRUE,48
2021-05-03,2021-06-10,TRUE,38
2021-04-20,2021-06-10,TRUE,51
2021-05-05,2021-06-10,TRUE,36
2021-05-18,2021-06-06,TRUE,19
2021-05-18,2021-06-06,TRUE,19
2021-05-18,2021-06-06,TRUE,19
2021-05-19,2021-06-06,TRUE,18
2021-05-20,2021-06-06,TRUE,17
2021-05-20,2021-06-06,TRUE,17
2021-05-22,2021-06-06,TRUE,15
2021-05-15,2021-06-05,TRUE,21
2021-05-15,2021-06-05,TRUE,21
2021-05-14,2021-06-05,TRUE,22
2021-05-17,2021-06-05,TRUE,19
2021-03-08,2021-06-04,TRUE,88
2021-03-08,2021-06-04,TRUE,88
2021-05-07,2021-06-02,TRUE,26
2021-04-16,2021-06-02,TRUE,47
2021-04-15,2021-06-02,TRUE,48
